company,final
Walmart,https://corporate.walmart.com/newsroom/company-news
Amazon,https://press.aboutamazon.com/press-releases
Exxon Mobil,https://corporate.exxonmobil.com/News/Newsroom/News-releases
Apple,https://www.apple.com/newsroom/archive/
CVS Health,https://www.cvshealth.com/news-and-insights/press-releases
Berkshire Hathaway,https://www.berkshirehathaway.com/news/2020news.html
UnitedHealth Group,https://www.unitedhealthgroup.com/search.html?query=*&facets=contenttype_s;uhg:content-type/story&sort=newest&start=0&rows=10
McKesson,https://www.mckesson.com/About-McKesson/Newsroom/Press-Releases/?topic=0&business=0&industry=0&month=0&page=1
AT&T,https://about.att.com/allnews.html
AmerisourceBergen,https://www.amerisourcebergen.com/newsroom/press-releases?filter=all
Alphabet,https://abc.xyz/investor/#news
Ford Motor,https://media.ford.com/content/fordmedia/fna/us/en/news.html
Cigna,https://www.cigna.com/about-us/newsroom/news-and-views/press-releases/
Costco Wholesale,https://investor.costco.com/news-releases
Chevron,https://www.chevron.com/stories
Cardinal Health,https://cardinalhealth.mediaroom.com/newsreleasearchive?l=100
JPMorgan Chase,https://www.jpmorganchase.com/news-stories/news
General Motors,https://plants.gm.com/media/us/en/gm/news/news_archive.year.All.month.All.html
Walgreens Boots Alliance,https://www.walgreensbootsalliance.com/news-media/press-releases/archive
Verizon Communications,https://www.verizon.com/about/media-center
Microsoft,https://news.microsoft.com/category/press-releases/
Marathon Petroleum,https://www.marathonpetroleum.com/Newsroom/Company-News/
Kroger,http://ir.kroger.com/CorporateProfile/press-releases/default.aspx
Fannie Mae,https://www.fanniemae.com/newsroom/fannie-mae-news
Bank of America,https://newsroom.bankofamerica.com/content/newsroom/press-releases.html
Home Depot,https://corporate.homedepot.com/newsroom
Phillips 66,https://investor.phillips66.com/financial-information/default.aspx
Comcast,https://corporate.comcast.com/press
Anthem,https://ir.antheminc.com/press-releases?c=130104&nyo=0&p=irol-news
Wells Fargo,https://newsroom.wf.com/English/news-releases/default.aspx
Citigroup,https://www.citigroup.com/citi/news/news_list_view.html
Valero Energy,https://www.valero.com/about/news-room
General Electric,https://www.ge.com/news/press-releases
Dell Technologies,https://corporate.delltechnologies.com/en-us/newsroom/announcements.htm#/filter-on/Country:en-us
Johnson & Johnson,https://www.jnj.com/latest-news?all
State Farm Insurance,https://newsroom.statefarm.com/?h=1&t=releases
Target,https://corporate.target.com/search-results?mediaType=Press%20release&page=1&sort=publishDate&sortOrder=desc
IBM,https://newsroom.ibm.com/announcements?l=100
Raytheon Technologies,https://www.rtx.com/news#2
Boeing,https://boeing.mediaroom.com/news-releases-statements?l=100
Freddie Mac,https://freddiemac.gcs-web.com/news-releases/
Centene,https://investors.centene.com/news-releases?field_nir_news_date_value%5Bmin%5D=2021
UPS,https://stories.ups.com/upsstories/us/en/newsroom/press-releases.html
Lowe's,https://corporate.lowes.com/newsroom/press-releases
Intel,https://newsroom.intel.com/news/
Facebook,https://investor.fb.com/investor-news/default.aspx
FedEx,https://newsroom.fedex.com
