company,newsroom_page,tag,link,base
Exxon Mobil,1,a,/News/Newsroom/News-releases/2021/0311_Darren-Woods-shares-strategy-for-long-term-growth-in-lower-carbon-future-with-employees,https://corporate.exxonmobil.com
Exxon Mobil,1,a,/News/Newsroom/News-releases/2021/0303_ExxonMobil-outlines-plans-to-grow-long-term-shareholder-value-in-lower-carbon-future,https://corporate.exxonmobil.com
Exxon Mobil,1,a,/News/Newsroom/News-releases/2021/0302_ExxonMobil-announces-Singapore-workforce-reductions,https://corporate.exxonmobil.com
Exxon Mobil,1,a,/News/Newsroom/News-releases/2021/0301_Neil-Duffin-to-retire-as-president-of-ExxonMobil-Global-Projects-Company_Jon-Gibbs-elected,https://corporate.exxonmobil.com
Exxon Mobil,1,a,/News/Newsroom/News-releases/2021/0301_Michael-Angelakis-and-Jeffrey-Ubben-join-ExxonMobil-board-of-directors,https://corporate.exxonmobil.com
Exxon Mobil,2,a,/News/Newsroom/News-releases/2021/0225_ExxonMobil-tests-advanced-recycling-of-plastic-waste-at-Baytown-facilities,https://corporate.exxonmobil.com
Exxon Mobil,2,a,/News/Newsroom/News-releases/2021/0224_ExxonMobil-to-sell-UK-Upstream-Central-and-Northern-North-Sea-assets,https://corporate.exxonmobil.com
Exxon Mobil,2,a,/News/Newsroom/News-releases/2021/0212_Darren-Woods-shares-reasons-for-optimism-in-message-to-employees,https://corporate.exxonmobil.com
Exxon Mobil,2,a,/News/Newsroom/News-releases/2021/0202_Tan-Sri-Wan-Zulkiflee-Wan-Ariffin-joins-ExxonMobil-Board-of-Directors,https://corporate.exxonmobil.com
Exxon Mobil,2,a,/News/Newsroom/News-releases/2021/0202_ExxonMobil-reports-results-for-fourth-quarter-2020-and-provides-perspective-on-forward-plans,https://corporate.exxonmobil.com
Exxon Mobil,3,a,/News/Newsroom/News-releases/2021/0201_ExxonMobil-Low-Carbon-Solutions-to-commercialize-emission-reduction-technology,https://corporate.exxonmobil.com
Exxon Mobil,3,a,/News/Newsroom/News-releases/2021/0201_Len-Fox-elected-as-controller-corporate-vice-president-David-Rosenthal-to-retire,https://corporate.exxonmobil.com
Exxon Mobil,3,a,/News/Newsroom/News-releases/2021/0127_Exxon-Mobil-Corporation-declares-first-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,3,a,/News/Newsroom/News-releases/2021/0127_ExxonMobil-comments-on-Engine-No-1-nomination-of-director-candidates,https://corporate.exxonmobil.com
Exxon Mobil,3,a,/News/Newsroom/News-releases/2021/0115_ExxonMobil-issues-statement-on-Wall-Street-Journal-report,https://corporate.exxonmobil.com
Exxon Mobil,4,a,/News/Newsroom/News-releases/2020/1215_ExxonMobil-gift-to-Community-Partners-of-Dallas,https://corporate.exxonmobil.com
Exxon Mobil,4,a,/News/Newsroom/News-releases/2020/1214_ExxonMobil-announces-2025-emissions-reductions_expects-to-meet-2020-plan,https://corporate.exxonmobil.com
Exxon Mobil,4,a,/News/Newsroom/News-releases/2020/1211_ExxonMobil-discovers-hydrocarbons-offshore-Suriname,https://corporate.exxonmobil.com
Exxon Mobil,4,a,/News/Newsroom/News-releases/2020/1130_ExxonMobil-to-prioritize-capital-investments-on-high-value-assets,https://corporate.exxonmobil.com
Exxon Mobil,5,a,/News/Newsroom/News-releases/2020/1125_ExxonMobil-plans-to-reduce-staffing-levels-in-Canada,https://corporate.exxonmobil.com
Exxon Mobil,5,a,/News/Newsroom/News-releases/2020/1112_ExxonMobil-statement-regarding-inaccurate-New-York-Times-story,https://corporate.exxonmobil.com
Exxon Mobil,5,a,/News/Newsroom/News-releases/2020/1030_ExxonMobil-reports-results-for-third-quarter-2020,https://corporate.exxonmobil.com
Exxon Mobil,5,a,/News/Newsroom/News-releases/2020/1029_ExxonMobil-plans-reduction-to-US-staffing-levels,https://corporate.exxonmobil.com
Exxon Mobil,5,a,/News/Newsroom/News-releases/2020/1028_Exxon-Mobil-Corporation-declares-fourth-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,6,a,/News/Newsroom/News-releases/2020/1021_Darren-Woods-discusses-future-of-industry-and-company-with-employees,https://corporate.exxonmobil.com
Exxon Mobil,6,a,/News/Newsroom/News-releases/2020/1005_ExxonMobil-statement-regarding-inaccurate-Bloomberg-news-story,https://corporate.exxonmobil.com
Exxon Mobil,6,a,/News/Newsroom/News-releases/2020/1005_ExxonMobil-plans-reduction-to-European-staffing-levels,https://corporate.exxonmobil.com
Exxon Mobil,6,a,/News/Newsroom/News-releases/2020/1001_Randall-Ebner-to-retire-as-general-counsel-Craig-Morford-elected,https://corporate.exxonmobil.com
Exxon Mobil,6,a,/News/Newsroom/News-releases/2020/0930_ExxonMobil-to-proceed-with-Payara-development-offshore-Guyana,https://corporate.exxonmobil.com
Exxon Mobil,7,a,/News/Newsroom/News-releases/2020/0921_ExxonMobil-expands-agreement-with-Global-Thermostat-re-direct-air-capture-technology,https://corporate.exxonmobil.com
Exxon Mobil,7,a,/News/Newsroom/News-releases/2020/0917_ExxonMobil-and-NMSI-expand-education-programs-to-Permian-area-schools,https://corporate.exxonmobil.com
Exxon Mobil,7,a,/News/Newsroom/News-releases/2020/0908_ExxonMobil-announces-Redtail-discovery-offshore-Guyana,https://corporate.exxonmobil.com
Exxon Mobil,7,a,/News/Newsroom/News-releases/2020/0811_ExxonMobil-and-Global-Clean-Energy-Holdings-sign-agreement-for-renewable-diesel,https://corporate.exxonmobil.com
Exxon Mobil,7,a,/News/Newsroom/News-releases/2020/0810_Bryan-Milton-to-Retire-as-President-of-ExxonMobil-Fuels-and-Lubricants-Company-Ian-Carr-Elected,https://corporate.exxonmobil.com
Exxon Mobil,8,a,/News/Newsroom/News-releases/2020/0731_ExxonMobil-reports-results-for-second-quarter-2020,https://corporate.exxonmobil.com
Exxon Mobil,8,a,/News/Newsroom/News-releases/2020/0729_Exxon-Mobil-Corporation-declares-third-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,8,a,/News/Newsroom/News-releases/2020/0728_ExxonMobil-recommends-shareholders-reject-tender-offer-by-Ponos-Industries-LLC,https://corporate.exxonmobil.com
Exxon Mobil,8,a,/News/Newsroom/News-releases/2020/0724_ExxonMobil-collaborates-on-discovery-of-new-material-to-enhance-carbon-capture-technology,https://corporate.exxonmobil.com
Exxon Mobil,8,a,/News/Newsroom/News-releases/2020/0717_ExxonMobil-GT-and-Imperial-College-London-publish-research-on-breakthrough-in-membrane-tech,https://corporate.exxonmobil.com
Exxon Mobil,9,a,/News/Newsroom/News-releases/2020/0702_EM-renews-collaboration-with-Princeton-to--advance-low-emission-research-and-energy-solutions,https://corporate.exxonmobil.com
Exxon Mobil,9,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-12M-to-Texas-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,9,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-3_5M-to-NY-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,9,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-3_3M-to-PA-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,9,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-3M-to-LA-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,10,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-2_1M-to-MA-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,10,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-1_7M-to-OK-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,10,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-1_4M-to-IL-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,10,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-1_3M-to-NJ-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,10,a,/News/Newsroom/News-releases/2020/0630_ExxonMobil-employees-and-retirees-contribute-more-than-1_2-M-to-CA-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,11,a,/News/Newsroom/News-releases/2020/0601_Steve-Greenlee-to-retire-and-Linda-DuCharme-elected-as-Corp-VP-and-Pres-of-Upstream-Business,https://corporate.exxonmobil.com
Exxon Mobil,11,a,/News/Newsroom/News-releases/2020/0527_ExxonMobil-outlines-path-for-resilience-long-term-growth-at-Annual-Shareholder-Meeting,https://corporate.exxonmobil.com
Exxon Mobil,11,a,/News/Newsroom/News-releases/2020/0513_XTO-Energy-extends-tender-offer-to-purchase-all-outstanding-units-in-Hugoton-Royalty-Trust,https://corporate.exxonmobil.com
Exxon Mobil,11,a,/News/Newsroom/News-releases/2020/0501_ExxonMobil-reports-results-for-first-quarter-2020,https://corporate.exxonmobil.com
Exxon Mobil,11,a,/News/Newsroom/News-releases/2020/0429_Exxon-Mobil-Corporation-declares-second-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,12,a,/News/Newsroom/News-releases/2020/0429_XTO-Energy-extends-tender-offer-to-purchase-all-outstanding-units-in-Hugoton-Royalty-Trust,https://corporate.exxonmobil.com
Exxon Mobil,12,a,/News/Newsroom/News-releases/2020/0427_ExxonMobil-to-release-first-quarter-2020-financial-results,https://corporate.exxonmobil.com
Exxon Mobil,12,a,/News/Newsroom/News-releases/2020/0424_ExxonMobil-modifies-facilities-to-produce-medical-grade-sanitizer-for-COVID19-response,https://corporate.exxonmobil.com
Exxon Mobil,12,a,/News/Newsroom/News-releases/2020/0423_ExxonMobil-to-host-Annual-Meeting-of-Shareholders-via-live-webcast,https://corporate.exxonmobil.com
Exxon Mobil,13,a,/News/Newsroom/News-releases/2020/0416_ExxonMobil-says-thanks-to-Houston-area-COVID-19-responders-with-meals-and-masks,https://corporate.exxonmobil.com
Exxon Mobil,13,a,/News/Newsroom/News-releases/2020/0415_ExxonMobil-boosts-production-of-raw-materials-for-medical-masks-and-gowns-and-hand-sanitizer,https://corporate.exxonmobil.com
Exxon Mobil,13,a,/News/Newsroom/News-releases/2020/0409_ExxonMobil-field-testing-new-comprehensive-methane-monitoring-technologies,https://corporate.exxonmobil.com
Exxon Mobil,13,a,/News/Newsroom/News-releases/2020/0407_ExxonMobil-reduces-2020-capex-by-30-percent-cash-opex-by-15-percent,https://corporate.exxonmobil.com
Exxon Mobil,13,a,/News/Newsroom/News-releases/2020/0403_ExxonMobil-contributions-to-Houston-area-food-banks-to-provide-one-million-meals,https://corporate.exxonmobil.com
Exxon Mobil,14,a,/News/Newsroom/News-releases/2020/0403_ExxonMobil-supports-hunger-relief-with-100k-contribution-to-West-Texas-Food-Bank,https://corporate.exxonmobil.com
Exxon Mobil,14,a,/News/Newsroom/News-releases/2020/0403_ExxonMobil-supports-online-education-with-100k-for-Carlsbad-Municipal-Schools,https://corporate.exxonmobil.com
Exxon Mobil,14,a,/News/Newsroom/News-releases/2020/0402_ExxonMobil-joins-Global-Center-to-expedite-medical-innovation-for-PPE,https://corporate.exxonmobil.com
Exxon Mobil,14,a,/News/Newsroom/News-releases/2020/0316_ExxonMobil-evaluating-significant-near-term-capital-and-operating-expense-reductions,https://corporate.exxonmobil.com
Exxon Mobil,14,a,/News/Newsroom/News-releases/2020/0305_ExxonMobil-outlines-progress-on-long-term-growth-strategy,https://corporate.exxonmobil.com
Exxon Mobil,15,a,/News/Newsroom/News-releases/2020/0303_ExxonMobil-proposes-framework-for-industry-wide-methane-regulations,https://corporate.exxonmobil.com
Exxon Mobil,15,a,/News/Newsroom/News-releases/2020/0214_ExxonMobil-elects-Stephen-Littleton-as-VP-of-investor-relations-and-corporate-secretary,https://corporate.exxonmobil.com
Exxon Mobil,15,a,/News/Newsroom/News-releases/2020/0131_ExxonMobil-Earns-14-Billion-in-2019-5-Billion-in-Fourth-Quarter,https://corporate.exxonmobil.com
Exxon Mobil,15,a,/News/Newsroom/News-releases/2020/0129_Exxon-Mobil-Corporation-declares-first-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,15,a,/News/Newsroom/News-releases/2020/0127_ExxonMobil-ups-Guyana-recoverable-resources-to-more-than-8-billion-oil-equivalent-barrels,https://corporate.exxonmobil.com
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1230_ExxonMobil-secures-exploration-acreage-offshore-Egypt,https://corporate.exxonmobil.com
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1223_ExxonMobil-discovers-oil-offshore-Guyana-at-Mako-1-well,https://corporate.exxonmobil.com
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1220_ExxonMobil-begins-oil-production-in-Guyana,https://corporate.exxonmobil.com
Exxon Mobil,16,a,/News/Newsroom/News-releases/2019/1213_ExxonMobil-gift-to-CitySquare-contributes-toward-Fight-against-Poverty-in-the-Dallas-region,https://corporate.exxonmobil.com
