company,rank,fortune_link,co_website
Walmart,1,https://fortune.com/company/walmart/fortune500/,https://corporate.walmart.com
Amazon,2,https://fortune.com/company/amazon-com/fortune500/,https://www.amazon.com/
Exxon Mobil,3,https://fortune.com/company/exxon-mobil/fortune500/,https://www.exxonmobil.com/
Apple,4,https://fortune.com/company/apple/fortune500/,https://www.apple.com/
CVS Health,5,https://fortune.com/company/cvs-health/fortune500/,https://www.cvshealth.com/
Berkshire Hathaway,6,https://fortune.com/company/berkshire-hathaway/fortune500/,https://www.berkshirehathaway.com/
UnitedHealth Group,7,https://fortune.com/company/unitedhealth-group/fortune500/,https://www.unitedhealthgroup.com/
McKesson,8,https://fortune.com/company/mckesson/fortune500/,https://www.mckesson.com/
AT&T,9,https://fortune.com/company/att/fortune500/,https://www.att.com/
AmerisourceBergen,10,https://fortune.com/company/amerisourcebergen/fortune500/,https://www.amerisourcebergen.com/
Alphabet,11,https://fortune.com/company/alphabet/fortune500/,https://www.abc.xyz/
Ford Motor,12,https://fortune.com/company/ford-motor/fortune500/,https://www.ford.com/
Cigna,13,https://fortune.com/company/cigna/fortune500/,https://www.cigna.com/
Costco Wholesale,14,https://fortune.com/company/costco/fortune500/,https://investor.costco.com
Chevron,15,https://fortune.com/company/chevron/fortune500/,https://www.chevron.com/
Cardinal Health,16,https://fortune.com/company/cardinal-health/fortune500/,https://www.cardinalhealth.com/
JPMorgan Chase,17,https://fortune.com/company/jpmorgan-chase/fortune500/,https://www.jpmorganchase.com/
General Motors,18,https://fortune.com/company/general-motors/fortune500/,https://www.gm.com/
Walgreens Boots Alliance,19,https://fortune.com/company/walgreens-boots-alliance/fortune500/,https://www.walgreensbootsalliance.com/
Verizon Communications,20,https://fortune.com/company/verizon/fortune500/,https://www.verizon.com/
Microsoft,21,https://fortune.com/company/microsoft/fortune500/,https://www.microsoft.com/
Marathon Petroleum,22,https://fortune.com/company/marathon-petroleum/fortune500/,https://www.marathonpetroleum.com/
Kroger,23,https://fortune.com/company/kroger/fortune500/,https://www.thekrogerco.com/
Fannie Mae,24,https://fortune.com/company/fannie-mae/fortune500/,https://www.fanniemae.com/
Bank of America,25,https://fortune.com/company/bank-of-america-corp/fortune500/,https://www.bankofamerica.com/
Home Depot,26,https://fortune.com/company/home-depot/fortune500/,https://www.homedepot.com/
Phillips 66,27,https://fortune.com/company/phillips/fortune500/,https://www.phillips66.com/
Comcast,28,https://fortune.com/company/comcast/fortune500/,https://corporate.comcast.com/
Anthem,29,https://fortune.com/company/anthem/fortune500/,https://www.antheminc.com/
Wells Fargo,30,https://fortune.com/company/wells-fargo/fortune500/,https://www.wellsfargo.com/
Citigroup,31,https://fortune.com/company/citigroup/fortune500/,https://www.citigroup.com/
