company,rank,fortune_link,co_website,newsroom_link,pressroom_link,corporate_link,final
Walmart,1,https://fortune.com/company/walmart/fortune500/,https://corporate.walmart.com,https://corporate.walmart.com/newsroom/2021/03/09/walmart-doubles-down-on-tiktok-shopping-hosts-all-new-live-stream-shopping-event,https://www.diabetes.org/newsroom/press-releases/2021/ada-and-walmart-partner-in-demanding-creating-and-ensuring-health-equity-now,https://corporate.walmart.com/#,https://corporate.walmart.com/newsroom/company-news
Amazon,2,https://fortune.com/company/amazon-com/fortune500/,https://www.amazon.com/,https://www.amazon.com/gp/customer-preferences/select-language/ref=topnav_lang?preferencesReturnUrl=%2F,https://www.amazon.com/Starbucks-Espresso-Roast-Coffee-12-Ounce/dp/B01F7M87SW/?_encoding=UTF8&pd_rd_w=Aa6iV&pf_rd_p=c7fab2e3-e39f-40ec-8237-d12ae4c9e3f4&pf_rd_r=T1N711DYR3W69CBKRQSW&pd_rd_r=b0bfafd2-1aee-4952-b139-24d55b366c0a&pd_rd_wg=92QFJ&ref_=pd_gw_trq_ed,https://www.amazon.com/Protector-Addtam-Extension-Overload-Protection/dp/B08F58MXQG/?_encoding=UTF8&smid=A1BGDLOO430MHB&pd_rd_w=jGLPM&pf_rd_p=b87da4a6-dd8d-4735-898e-79a3e34d112e&pf_rd_r=T1N711DYR3W69CBKRQSW&pd_rd_r=b0bfafd2-1aee-4952-b139-24d55b366c0a&pd_rd_wg=92QFJ&ref_=pd_gw_unk,https://press.aboutamazon.com/press-releases
Exxon Mobil,3,https://fortune.com/company/exxon-mobil/fortune500/,https://www.exxonmobil.com/,https://corporate.exxonmobil.com/About-us/Business-divisions,https://corporate.exxonmobil.com/News/Newsroom/News-releases,https://corporate.exxonmobil.com/#main-content,https://corporate.exxonmobil.com/News/Newsroom/News-releases
Apple,4,https://fortune.com/company/apple/fortune500/,https://www.apple.com/,https://www.apple.com/apple-news/,https://www.apple.com/us/shop/goto/temporary_closures,https://www.apple.com/us/shop/goto/trade_in,https://www.apple.com/newsroom/archive/
CVS Health,5,https://fortune.com/company/cvs-health/fortune500/,https://www.cvshealth.com/,https://www.cvshealth.com/news-and-insights/topics/company-news,https://www.cvshealth.com/news-and-insights/press-releases/cvs-health-to-administer-covid-19-vaccines-at-over-80-pharmacy,https://www.cvshealth.com/social-responsibility/corporate-social-responsibility/political-activities-contributions,https://www.cvshealth.com/news-and-insights/press-releases
Berkshire Hathaway,6,https://fortune.com/company/berkshire-hathaway/fortune500/,https://www.berkshirehathaway.com/,https://www.berkshirehathaway.com/news/2021news.html,https://www.berkshirehathaway.com/message.html,https://www.berkshirehathaway.com/reports.html,https://www.berkshirehathaway.com/news/2020news.html
UnitedHealth Group,7,https://fortune.com/company/unitedhealth-group/fortune500/,https://www.unitedhealthgroup.com/,https://www.unitedhealthgroup.com/content/uhg/en/newsroom/2021/2021-02-04-andrew-witty-named-ceo.html,https://www.unitedhealthgroup.com/content/uhg/en/newsroom/press-releases.html,https://www.unitedhealthgroup.com/content/uhg/en/who-we-are/corporate-governance.html,https://www.unitedhealthgroup.com/search.html?query=*&facets=contenttype_s;uhg:content-type/story&sort=newest&start=0&rows=10
McKesson,8,https://fortune.com/company/mckesson/fortune500/,https://www.mckesson.com/,https://enews.mckessonspecialtyhealth.com/rs/856-MGL-296/images/WhitePaper_Empowering-better-care-with-precision-medicine.pdf?mkt_tok=eyJpIjoiTXprNFlqYzFNR1ZqTVdVMyIsInQiOiJ6M2VKU0RZQ1Npd0N2TW9DWmdNNHpDczQxSTNoRXVNaHBFcGRVWWcxZkJoMm1yOTd0Uk1PalF1U1ZXSCtaOTIydlNsRnJlSDkrcWNPXC9CVHRZSmhaeThiV3FtXC9vSVhlakM1ZXRcL3ZMcUZ2MUk4NGVJeDlIaFpWNWUzckZZSzNFayJ9,https://www.mckesson.com/About-McKesson/Newsroom/Press-Releases/2021/MYLUNG-Study-Launches-Advance-Precision-Medicine-Lung-Cancer-Patients/,https://www.mckesson.com/About-McKesson/Corporate-Citizenship/,https://www.mckesson.com/About-McKesson/Newsroom/Press-Releases/?topic=0&business=0&industry=0&month=0&page=1
AT&T,9,https://fortune.com/company/att/fortune500/,https://www.att.com/,https://about.att.com/category/all_news.html,https://www.att.com/wireless/,https://www.att.com/storeappointment/,https://about.att.com/allnews.html
AmerisourceBergen,10,https://fortune.com/company/amerisourcebergen/fortune500/,https://www.amerisourcebergen.com/,https://www.amerisourcebergen.com/newsroom,,https://www.amerisourcebergen.com/pharmaceutical-distribution/coronavirus-covid-19-information,https://www.amerisourcebergen.com/newsroom/press-releases?filter=all
